name	expected	hex
current_marker	accept	464c4f474355520000010000000000000000000701f553f3
empty_snapshot	accept	464c4f47534e5000000100000000000000000007400aa7032f9128c39cc7e1403b8745dcccf6c9a5acfc665e908f15e798ac9531000000004e0dcda7464c4f475346540000000000000000000000000065828036
wal_header	accept	464c4f4757414c00000100000000000000000007400aa7032f9128c39cc7e1403b8745dcccf6c9a5acfc665e908f15e798ac953169a613de
active_snapshot	accept	464c4f47534e5000000100000000000000000007400aa7032f9128c39cc7e1403b8745dcccf6c9a5acfc665e908f15e798ac953100000001bc664ea40000009e000102030405060708090a0b0c0d0e0f00000001000000000000002a00036162630000000001000000000000000100000000000000020001b89a44439258d045238a81d1d608cb41abede895ab1e047eef2b83898d3e0b25000100000000000003e80100000000000000001000102f7661722f6c6f672f6170702e6c6f67337a8fdfc197d2f02179162dccb0e86c430452449e51368104bbd5cc98fca49bd40e002f464c4f475346540000000000000000a600000001728402d6
quarantined_snapshot	accept	464c4f47534e5000000100000000000000000007400aa7032f9128c39cc7e1403b8745dcccf6c9a5acfc665e908f15e798ac953100000001bc664ea4000000d5101112131415161718191a1b1c1d1e1f00000002000000000000000a0002aabb00000000020000000000000003202122232425262728292a2b2c2d2e2f0001b89a44439258d045238a81d1d608cb41abede895ab1e047eef2b83898d3e0b2501000000000000000000000002030001000000000000000c0000000200000000000007d000000000000005dc0200000000000000001e001e43003a005c006c006f00670073005c006100700070002e006c006f006700eaf5f1242c984fbf5c1ec523bd5dd9d1fa8c21b7f09a9394ee7b74b3ecdb8357ed1c8232464c4f475346540000000000000000dd000000015c0b0799
rotated_finalized_snapshot	accept	464c4f47534e5000000100000000000000000007400aa7032f9128c39cc7e1403b8745dcccf6c9a5acfc665e908f15e798ac953100000001bc664ea40000009b303132333435363738393a3b3c3d3e3f00000001000000000000006300000000000001000000000000000400000000000000050001b89a44439258d045238a81d1d608cb41abede895ab1e047eef2b83898d3e0b2500020000000000000bb80100000000000000001000102f7661722f6c6f672f6f6c642e6c6f678d7835f7327949d9d30e9464ec82411c544cfb1f57bfb3380a44322036e779ea37ef6db5464c4f475346540000000000000000a300000001aad0d3ca
register_file_tx	accept	464c4f4754584e00000100000000000000000001000000a6ffffff5900010000f999d0fb0000009e01000102030405060708090a0b0c0d0e0f00000001000000000000002a00036162630000000001000000000000000100000000000000020001b89a44439258d045238a81d1d608cb41abede895ab1e047eef2b83898d3e0b250000000000000003e80100000000000000001000102f7661722f6c6f672f6170702e6c6f67337a8fdfc197d2f02179162dccb0e86c430452449e51368104bbd5cc98fca49bf1ae280c9e22242a
update_progress_tx	accept	464c4f4754584e0000010000000000000000000100000037ffffffc80001000007554ba40000002f02000102030405060708090a0b0c0d0e0f000000000000002a00000001000000000000003200000000000000044c006fb0d6e631dcf84c
reset_after_truncate_tx	accept	464c4f4754584e000001000000000000000000010000003cffffffc3000100002bdd0e7f0000003403000102030405060708090a0b0c0d0e0f0000000100000000000000000000000200000000000000000000000000000004b00001613cc7a53d130d49
update_fingerprint_tx	accept	464c4f4754584e0000010000000000000000000100000028ffffffd700010000ef7e80f00000002004000102030405060708090a0b0c0d0e0f00000001000361626300046162636428b6eab5b57d7d02
update_metadata_tx	accept	464c4f4754584e000001000000000000000000010000005fffffffa0000100006d6d73680000005705000102030405060708090a0b0c0d0e0f0200000000000005140100000000000000001100112f7661722f6c6f672f617070322e6c6f672c4aa12d5e37003e838149fee3c2d76fa4b9e626ab8b73bd9e312be159a6147d67f8f2a5d312c7a6
quarantine_file_tx	accept	464c4f4754584e0000010000000000000000000100000044ffffffbb00010000bbccc4bf0000003c06000102030405060708090a0b0c0d0e0f0000000100010100000000000000010000000000000002000000000000003200000001000000000000057826f42b67086b36a3
reset_to_beginning_tx	accept	464c4f4754584e000001000000000000000000010000003affffffc50001000088e477c50000003207101112131415161718191a1b1c1d1e1f000000020100000003000000000000000000000000000000083400057265736574ea70a2117299cea4
administrative_remove_tx	accept	464c4f4754584e000001000000000000000000010000003cffffffc3000100002bdd0e7f0000003408000102030405060708090a0b0c0d0e0f0000000101000100000000000008fc0100086170702d6c6f67730007636c65616e75707ee30ad976694162
keep_failed_tx	accept	464c4f4754584e0000010000000000000000000100000049ffffffb600010000347df8de0000004107101112131415161718191a1b1c1d1e1f000000020300000002000000000000000a01000000000000000000000002000000000000089800087265766965776564c1190c505cf95311
keep_failed_state_change_tx	KeepFailedStateChange	464c4f4754584e000001000000000000000000010000003dffffffc200010000e7f2b79b0000003507101112131415161718191a1b1c1d1e1f000000020300000002000000000000000a000000000000000898000872657669657765647a3cbb6867ce9590
